Satellite	Code	a	e	ω	M	i	node	P	Papsis	Pnode	Ref.
S2020_S_34	65225	22435600.	0.154	162.8	116.4	160.6	7.7	1254.6069	196.1	348.5	46
S2020_S_35	65226	23030300.	0.225	19.8	98.0	174.9	344.7	1304.9653	150.7	282.0	46
S2020_S_36	65227	22806200.	0.336	139.7	216.1	168.8	26.9	1286.0292	164.0	280.5	46
S2020_S_37	65228	23751800.	0.344	211.7	182.3	174.8	25.1	1366.8215	145.4	252.8	46
S2020_S_38	65229	23583900.	0.513	246.3	99.4	159.7	284.0	1352.4347	142.2	199.2	46
S2020_S_39	65230	24262400.	0.305	28.9	165.2	160.1	318.8	1411.1451	164.6	269.8	46
S2020_S_40	65231	23785900.	0.412	99.4	64.0	167.3	250.5	1369.7562	135.3	217.0	46
S2020_S_41	65232	25876400.	0.402	224.9	63.1	160.2	28.3	1554.3993	142.1	218.1	46
S2020_S_42	65233	25329400.	0.506	59.1	278.4	157.5	15.4	1505.3118	128.1	176.6	46
S2020_S_43	65234	26657400.	0.203	257.0	252.6	164.6	68.7	1625.2931	131.5	236.8	46
S2020_S_44	65235	27259400.	0.199	283.8	318.0	168.5	28.0	1680.6410	136.5	252.4	46
S2023_S_1	65236	11205400.	0.386	296.8	263.4	48.8	159.6	442.8632	1336.6	1092.5	46
S2023_S_2	65237	11309900.	0.339	117.3	257.2	45.7	253.8	449.0535	1136.4	1079.6	46
